What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,birth_day,birth_month,birth_year,Give a random number,bedtime,good_day_1,good_day_2
Econometrics,no,0,mu,nee,male,fat,19,9,1993,8,01:30,chocolate,flying
Artificial Intelligence,yes,1,mu,ja,female,I have no idea what you are talking about,9,9,NA,9,23:14,sunshine,if i got up with the correct leg
Computational Science,yes,1,mu,ja,male,slim,26,1,1994,3,00:45,beer,seeing friends
Business Analytics,yes,0,mu,nee,female,fat,24,11,1995,9,01:00,beer,food
Artificial Intelligence   ,no,0,mu,nee,male,neither,3,9,1994,8,02:00,relief,future plans being solid
Artificial Intelligence,yes,1,mu,ja,male,I have no idea what you are talking about,9,11,NA,6.9,01:00,sex,drugs
Business Analytics,yes,0,mu,nee,male,neither,30,12,1992,9,23:30,wake up without a alarm,go to the gym
Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,18,2,1994,75389275660,23:30,sports,productive
Computer Science,no,0,sigma,nee,male,slim,22,5,1996,9,23:16,food,no rain
Business Analytics,yes,1,mu,ja,female,fat,13,9,1995,8,23:00,good weather,good coffee
Artificial Intelligence,yes,1,sigma,nee,male,I have no idea what you are talking about,26,3,1993,7,00:30,finish my daily tasks,watch a movie
Artificial Intelligence,yes,1,sigma,ja,female,fat,15,11,NA,7,00:25,no rain,beer
NA,yes,0,mu,nee,male,neither,4,4,1990,4,23:49,beer,food
Artificial Intelligence,no,1,mu,nee,male,I have no idea what you are talking about,19,4,1989,9,23:45,getting my salary,bike not braking down
NA,no,0,mu,nee,male,neither,4,6,1992,4,23:00,sunshine,no obligations
Computer Science,yes,1,mu,ja,male,fat,5,4,1995,6,00:30,sunshine,food
Bioinformatics,yes,0,sigma,nee,male,fat,22,9,1988,7,23:59,good dinner,assignmeny done
Artificial Intelligence,yes,1,sigma,nee,male,fat,14,3,1981,1,00:30,sleep,get satisfaction at work
